mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mse,mae,r2,rmse
1.5960067907969158,0.12172759286950104,0.002577543258666992,0.0018980903936311744,tanh,0.0001,"(50, 50, 50)",constant,sgd,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-0.07520777170502616,-0.07282551589434695,-0.0824099029570312,-0.07681439685213477,0.004074395833685334,503,0.07696544673967082,0.21663135750988774,0.8414846547836115,0.2774264708705188
0.5874696572621664,0.039645725257922565,0.0024851163228352866,0.002281149563086717,tanh,0.0001,"(50, 50, 50)",constant,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-0.06953823110059079,-0.08856585953283098,-0.07540940571516233,-0.0778378321161947,0.00795552646603907,526,0.07343979091342852,0.21106937439969117,0.8487459723499383,0.2709977692037861
1.5786647001902263,0.1209249673116618,0.001292864481608073,0.0018283864842005976,tanh,0.0001,"(50, 50, 50)",constant,lbfgs,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'constant', 'solver': 'lbfgs'}",-0.07867229868751761,-0.07049163578624278,-0.07568136416110291,-0.07494843287828777,0.00337971424581728,443,0.07759057059969818,0.21383146073607034,0.8401971715210195,0.2785508402423123
1.7929017543792725,0.11516994955676092,0.002042849858601888,0.0018808129149320066,tanh,0.0001,"(50, 50, 50)",adaptive,sgd,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-0.07580584041526875,-0.07229483612899985,-0.07686923422127068,-0.07498997025517977,0.001954569443677296,445,0.07508710895959297,0.21671467690180501,0.8453532136532704,0.2740202710742272
1.0001074473063152,0.1297112603663869,0.0010030269622802734,0.0014184943334826494,tanh,0.0001,"(50, 50, 50)",adaptive,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}",-0.06930823909634466,-0.06774848588749295,-0.06961104696489626,-0.06888925731624462,0.0008160648425242885,245,0.07793294247480906,0.22103114441309002,0.8394920343682508,0.2791647228336866
1.726962725321452,0.05990592965323878,0.004589478174845378,0.0017447147591972566,tanh,0.0001,"(50, 50, 50)",adaptive,lbfgs,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",-0.07810683086291624,-0.07112527860365447,-0.08150450718014333,-0.0769122055489047,0.0043206823297104865,507,0.07716571923367549,0.2132552859651613,0.8410721805517412,0.27778718335026814
1.8195295333862305,0.08243857504364241,0.0006656646728515625,0.0009413920083393291,tanh,0.0001,"(50, 50, 50)",invscaling,sgd,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'invscaling', 'solver': 'sgd'}",-0.4700898425651077,-0.5871359672847436,-0.4388369855651494,-0.49868759847166694,0.0638306129634545,1342,0.26691767606263095,0.39997665464638543,0.450265679499841,0.5166407611315922
0.7177209854125977,0.07205934115885601,0.0020651817321777344,0.002920608014410913,tanh,0.0001,"(50, 50, 50)",invscaling,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'invscaling', 'solver': 'adam'}",-0.07203339530387202,-0.07592240181194196,-0.07560411088697341,-0.07451996933426246,0.0017630683640911288,429,0.06917829618313627,0.2056853336518643,0.8575227980155511,0.2630176727581937
1.9180710315704346,0.04400398679353206,0.0010521411895751953,0.0014879523398286028,tanh,0.0001,"(50, 50, 50)",invscaling,lbfgs,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'invscaling', 'solver': 'lbfgs'}",-0.07546684807384517,-0.07161569988907623,-0.07801799907495116,-0.07503351567929085,0.0026316270555800415,447,0.07613912172102578,0.21202845043192958,0.8431865249232665,0.2759331834358198
2.924919525782267,0.058224099120091154,0.006699164708455403,0.0019277552806202883,tanh,0.0001,"(50, 100, 50)",constant,sgd,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-0.07079587104446884,-0.07497029317493173,-0.07633445219017115,-0.07403353880319058,0.002356141173135205,414,0.07559753036873401,0.21639977175734407,0.8443019675512438,0.2749500506796353
1.152017593383789,0.025616271802447393,0.00405112902323405,0.0014368487009537858,tanh,0.0001,"(50, 100, 50)",constant,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-0.06760212161688164,-0.06979751624688024,-0.07923396036101603,-0.0722111994082593,0.005046075567212608,346,0.08089607238190528,0.22729376172499047,0.8333892755324177,0.28442234859782956
