batch_size,epochs,optimizer,activation,mse,mae,r2,rmse
20,20,adam_001,sigmoid,0.07217097345529629,0.21417152052512775,0.8513591844589086,0.26864655861428094
20,20,adam_0001,relu,0.07595221181482131,0.21298128697717444,0.843571478036143,0.27559428842924394
20,20,adam_0001,tanh,0.07939479541397153,0.21812787263048272,0.8364812531264979,0.2817708207284273
20,20,adam_0001,sigmoid,0.07012815516782817,0.20608391949817065,0.8555665016352467,0.2648172108602992
20,20,sgd_005,relu,0.07410539490823223,0.2107686976624805,0.8473751176159875,0.272223060941266
20,20,sgd_005,tanh,0.0965185158049609,0.24815726741974836,0.8012138368488048,0.3106742921533111
20,20,sgd_005,sigmoid,0.1129854729435162,0.2689648094034433,0.7672990672209408,0.33613311789158207
20,20,sgd_01,relu,0.0918099429797179,0.2353528541812484,0.8109114489395196,0.3030015560681461
20,20,sgd_01,tanh,0.1095154150808888,0.2628903469745807,0.7744458771637941,0.33093113344151953
20,20,sgd_01,sigmoid,0.08827795323005873,0.23399611418338462,0.8181858116332319,0.2971160602021687
20,20,adam_005,relu,0.4876835582708911,0.5676700404162415,-0.004416018751191686,0.6983434386252162
20,20,adam_005,tanh,0.12047191350008785,0.27555433455798867,0.7518802557992272,0.3470906416198625
20,20,adam_005,sigmoid,0.4879063366762416,0.5675804842887028,-0.004874845371796388,0.698502925316882
20,20,adam_01,relu,0.48554590318405777,0.569820969005591,-1.3379016128745036e-05,0.6968112392779394
20,20,adam_01,tanh,0.2539041512413092,0.4105167207384665,0.4770678805773094,0.5038890267125384
20,20,adam_01,sigmoid,0.5302483499447442,0.5773626937961419,-0.09208097662594095,0.7281815363937376
20,50,sgd_001,relu,0.07192090133723521,0.21243868875424202,0.8518742242566704,0.26818072514115404
20,50,sgd_001,tanh,0.07012481660775242,0.20972066010889318,0.8555733776169419,0.2648109072673413
20,50,sgd_001,sigmoid,0.08173274601442483,0.22396151118984636,0.8316660917491691,0.2858893947218484
20,50,sgd_0001,relu,0.07891151335950873,0.21752127056312245,0.8374766039617783,0.2809119316787892
20,50,sgd_0001,tanh,0.08830810837601709,0.2339060710115163,0.8181237051481256,0.29716680227780673
20,50,sgd_0001,sigmoid,0.09876334584825212,0.2441638939868591,0.7965904633177183,0.3142663613055844
20,50,adam_001,relu,0.07740109089349781,0.21756774646073526,0.8405874173041882,0.2782105154258153
20,50,adam_001,tanh,0.0973655439609825,0.23760849417941937,0.7994693272507001,0.3120345236684276
20,50,adam_001,sigmoid,0.07277141310584843,0.2088315943671939,0.8501225399317767,0.2697617710237098
20,50,adam_0001,relu,0.07468268284923057,0.21125304907609935,0.8461861555410173,0.2732813254674212
20,50,adam_0001,tanh,0.07125652067538303,0.20702931504082958,0.8532425594568129,0.2669391703654281
20,50,adam_0001,sigmoid,0.0719863131892602,0.21356148423847066,0.8517395042914884,0.268302652221815
20,50,sgd_005,relu,0.0817190194020221,0.22182930497282158,0.8316943626005167,0.28586538685546053
20,50,sgd_005,tanh,0.09694962149904934,0.2464965284604598,0.8003259466225019,0.3113673417348861
20,50,sgd_005,sigmoid,0.07242415274854178,0.21007427496441983,0.8508377452316902,0.2691173586904824
20,50,sgd_01,relu,0.07349332183409778,0.2077935026806722,0.8486357219359008,0.27109651756173075
20,50,sgd_01,tanh,0.09465939659405866,0.24576388753392736,0.8050428138248156,0.3076676723252845
20,50,sgd_01,sigmoid,0.06944301119704083,0.20569496834734316,0.8569776002210788,0.263520418937586
20,50,adam_005,relu,0.4869703414157502,0.5729565191348261,-0.0029471022335081365,0.6978326027176934
20,50,adam_005,tanh,0.10318735608171774,0.2545689035929777,0.7874789263994616,0.32122788808214914
20,50,adam_005,sigmoid,0.08932724620326059,0.23061426495156948,0.8160247244840491,0.2988766404442819
20,50,adam_01,relu,0.485712555849001,0.5692163795877415,-0.0003566110226167485,0.69693081137872
20,50,adam_01,tanh,0.184196439260247,0.3405563306015066,0.6206354488433328,0.4291811264026495
20,50,adam_01,sigmoid,0.49569905306215756,0.5675259285798288,-0.020924451791480614,0.7040589840788608
20,100,sgd_001,relu,0.07309544600309423,0.2119946633400814,0.8494551730971226,0.2703616947777444
20,100,sgd_001,tanh,0.07050566804141105,0.20781033642875177,0.8547889893097219,0.2655290342719814
20,100,sgd_001,sigmoid,0.07791567129564746,0.21844080978146013,0.8395276054854608,0.2791337874490429
20,100,sgd_0001,relu,0.0769684245742569,0.21518874423079407,0.8414785217395325,0.2774318377083944
20,100,sgd_0001,tanh,0.0788715064759281,0.2208161892946469,0.837559000741508,0.2808407137078385
20,100,sgd_0001,sigmoid,0.09343200723884376,0.23782943727966155,0.8075707020603623,0.30566649675560414
20,100,adam_001,relu,0.0752807210593173,0.21335249646134466,0.8449544569367704,0.2743733242487638
20,100,adam_001,tanh,0.08873042563295791,0.22985086272044505,0.8172539152799365,0.29787652749580307
20,100,adam_001,sigmoid,0.07869580882923054,0.21702712818707484,0.8379208614764191,0.280527732727498
20,100,adam_0001,relu,0.07432433413293489,0.2123060386073768,0.8469241980377183,0.27262489639234144
20,100,adam_0001,tanh,0.07237868012186395,0.21178273641329237,0.8509313990649501,0.269032860672937
20,100,adam_0001,sigmoid,0.06736369023584456,0.20301830590068798,0.8612600970289589,0.25954516030133284
20,100,sgd_005,relu,0.08666049786020953,0.22906808636152803,0.8215170662050526,0.29438155149433115
20,100,sgd_005,tanh,0.0714058670342897,0.20991222475213736,0.8529349709136194,0.26721876250422555
20,100,sgd_005,sigmoid,0.06887086810708926,0.20395658428776084,0.8581559661405752,0.2624325972646867
20,100,sgd_01,relu,0.08855649271426731,0.233430063109628,0.8176121414426974,0.29758442955616365
20,100,sgd_01,tanh,0.091771792252908,0.24206277345857288,0.8109900228436117,0.3029385948553073
20,100,sgd_01,sigmoid,0.23101197417399402,0.4143799013623382,0.5242158086969778,0.4806370503550408
20,100,adam_005,relu,0.4869466186255904,0.5680342798502791,-0.0028982436036817383,0.6978156050315802
20,100,adam_005,tanh,0.16500683103866323,0.32453026577954286,0.6601576955224222,0.40621032857211203
20,100,adam_005,sigmoid,0.12530987287445522,0.28287057279945416,0.7419161636922242,0.3539913457620895
20,100,adam_01,relu,0.4857873260159698,0.5690743400332535,-0.0005106050463119516,0.6969844517749085
20,100,adam_01,tanh,0.3030566848782754,0.465663883729703,0.37583503950672226,0.5505058445450651
20,100,adam_01,sigmoid,0.5653557982703699,0.5896771255943819,-0.16438705067273296,0.7519014551590986
20,120,sgd_001,relu,0.07256993960710773,0.21077210354924003,0.8505374877110425,0.26938808363977
20,120,sgd_001,tanh,0.06860104450928987,0.20546890660252629,0.8587116853959622,0.26191801104408585
20,120,sgd_001,sigmoid,0.08254404665691213,0.22560735669191587,0.8299951652897523,0.28730479748328625
20,120,sgd_0001,relu,0.07704816292987889,0.21370427368087894,0.8413142954080572,0.2775755085195358
20,120,sgd_0001,tanh,0.07781435187000858,0.22082573406708222,0.8397362794347798,0.27895223940669234
20,120,sgd_0001,sigmoid,0.09476206905001852,0.23796700517667116,0.8048313532215173,0.3078344832048848
20,120,adam_001,relu,0.07340151138669666,0.21160427406107923,0.8488248115258499,0.27092713298356935
20,120,adam_001,tanh,0.10395555003028459,0.2527175269944101,0.7858967809808546,0.3224213858140998
20,120,adam_001,sigmoid,0.08123508050935818,0.22135786376261277,0.8326910662368084,0.28501768455546433
20,120,adam_0001,relu,0.07278697067495168,0.20831703446272407,0.8500904981059756,0.26979060523849174
20,120,adam_0001,tanh,0.07191225284650261,0.2078470176071573,0.8518920363860368,0.2681646002859114
20,120,adam_0001,sigmoid,0.06725799759913191,0.2031591500220402,0.8614777778910216,0.25934146910806977
20,120,sgd_005,relu,0.09319273469833649,0.2450851035475136,0.8080634994254916,0.30527485107413693
20,120,sgd_005,tanh,0.07390386078819401,0.20939898376258556,0.8477901902487599,0.2718526453580947
20,120,sgd_005,sigmoid,0.07173369816448057,0.20746952149713296,0.8522597813710879,0.26783147343895297
20,120,sgd_01,relu,0.07843947822392211,0.2177712794627604,0.838448791035867,0.28007048795601813
20,120,sgd_01,tanh,0.11936243603037501,0.270415635005805,0.7541652968347999,0.34548869160997875
20,120,sgd_01,sigmoid,0.08472019300562218,0.22533940915061706,0.8255132502964706,0.291067334143875
20,120,adam_005,relu,0.48962758936752643,0.5670758838304465,-0.008419877280550603,0.6997339418432741
20,120,adam_005,tanh,0.15740482100211464,0.3160697497147292,0.6758145298075253,0.39674276427190786
20,120,adam_005,sigmoid,0.10671291047271168,0.2556672117119026,0.7802178177456285,0.3266694207799556
20,120,adam_01,relu,0.4872335779967459,0.5733280419271917,-0.003489255099212274,0.6980211873551876
20,120,adam_01,tanh,0.25444742770036066,0.4071478075830393,0.4759489673623215,0.5044278220918833
20,120,adam_01,sigmoid,0.48652578183670864,0.5723044357998003,-0.0020315028557849057,0.6975140011761116
20,150,sgd_001,relu,0.07158392174758461,0.21037933833983888,0.8525682556466916,0.2675517178931666
20,150,sgd_001,tanh,0.07474323130352313,0.213500859201847,0.8460614520598958,0.2733920834690045
20,150,sgd_001,sigmoid,0.07563315768514155,0.2147752147427018,0.8442285907750577,0.27501483175483743
20,150,sgd_0001,relu,0.07439417090828362,0.21140333092351524,0.8467803646550492,0.27275294848687454
20,150,sgd_0001,tanh,0.0783301306475159,0.22229303851103824,0.8386739994840325,0.27987520548901057
20,150,sgd_0001,sigmoid,0.08823623216929397,0.23252684290119494,0.8182717388724032,0.2970458418650124
20,150,adam_001,relu,0.09606407620293281,0.23807841794463047,0.8021497847766994,0.30994205297592775
20,150,adam_001,tanh,0.08844596160012176,0.23186632959695902,0.8178397874638424,0.2973986576972427
20,150,adam_001,sigmoid,0.08163950992852742,0.21687324986481626,0.8318581175343587,0.28572628498009667
20,150,adam_0001,relu,0.07515577197130313,0.21229148661634092,0.8452117977131844,0.27414553064258246
20,150,adam_0001,tanh,0.07911127818547405,0.2127150909357182,0.8370651753052658,0.28126727179939376
20,150,adam_0001,sigmoid,0.06662348056634257,0.20264967267009462,0.8627846070040713,0.2581152466754774
20,150,sgd_005,relu,0.08961940517024845,0.2278524415544583,0.8154230040825968,0.2993650032489577
20,150,sgd_005,tanh,0.08269502066576549,0.22343011967949386,0.8296842244955925,0.2875674193398228
20,150,sgd_005,sigmoid,0.07234245266055116,0.20812203296210724,0.8510060118786161,0.2689655231819706
20,150,sgd_01,relu,0.0983624636323656,0.23524963934290627,0.7974161063242133,0.31362790633546245
20,150,sgd_01,tanh,0.07275154198518499,0.20905273443053846,0.8501634657976714,0.2697249376405248
20,150,sgd_01,sigmoid,0.06945487790792626,0.20364349909511065,0.8569531599579183,0.26354293370896187
20,150,adam_005,relu,0.4914777158947135,0.5779223152960398,-0.012230333239352964,0.701054716762332
20,150,adam_005,tanh,0.12283278565693578,0.27993440620117693,0.7470178859851426,0.3504750856436671
20,150,adam_005,sigmoid,0.09205185210998118,0.2390792101195172,0.8104132213462414,0.30340048139378617
20,150,adam_01,relu,0.48903426886832196,0.567212266795052,-0.007197895108817409,0.6993098518313051
20,150,adam_01,tanh,0.16105973519720257,0.31673418366373474,0.6682869962205342,0.4013224827955725
20,150,adam_01,sigmoid,0.7769979785672907,0.7441567202296709,-0.6002778912156412,0.8814748882227392
40,20,sgd_001,relu,0.08093097882341996,0.22456069474212345,0.8333173834449763,0.2844837057256882
40,20,sgd_001,tanh,0.0834470726454229,0.22724456094465717,0.8281353245122105,0.28887206968729756
40,20,sgd_001,sigmoid,0.0935302032449999,0.2379120897969073,0.8073684609966891,0.30582708062727193
40,20,sgd_0001,relu,0.12508491876320954,0.27607656808938835,0.7423794713206795,0.3536734634704865
40,20,sgd_0001,tanh,0.11355387192426837,0.2613533654347831,0.7661284125379462,0.3369775540362716
40,20,sgd_0001,sigmoid,0.36914153061484756,0.4925401068923874,0.2397289999882758,0.6075701857521052
40,20,adam_001,relu,0.07357232917361446,0.21180201816082792,0.848473001179657,0.2712421965211432
40,20,adam_001,tanh,0.07414906602748265,0.21406130540787482,0.8472851741044871,0.27230326114000664
40,20,adam_001,sigmoid,0.07042297755143287,0.20752511730606665,0.8549592957539804,0.26537327964856006
40,20,adam_0001,relu,0.07333881451997742,0.20922213606747134,0.8489539398021477,0.2708114002769777
40,20,adam_0001,tanh,0.07456911145371134,0.21595459063318925,0.8464200632194633,0.27307345431900065
40,20,adam_0001,sigmoid,0.07052729815450902,0.2073028199168886,0.8547444406844616,0.2655697613707348
40,20,sgd_005,relu,0.12596233639376353,0.27873096794534646,0.7405723726225241,0.3549117304256983
40,20,sgd_005,tanh,0.07038439680002057,0.20878069177840194,0.8550387553217202,0.26530057821275205
40,20,sgd_005,sigmoid,0.1382209975369451,0.2979385184289612,0.7153248624044022,0.37178084611360107
40,20,sgd_01,relu,0.11693572524485558,0.27250608840123586,0.7591632655883376,0.34195866014016313
40,20,sgd_01,tanh,0.0748181836670684,0.21076396762035451,0.845907082790497,0.2735291276392121
40,20,sgd_01,sigmoid,0.1273498938228731,0.2864663128368866,0.7377146078176653,0.35686116883582764
40,20,adam_005,relu,0.48877058846411,0.575145638857824,-0.006654828160322479,0.6991212973898807
40,20,adam_005,tanh,0.14095544715602545,0.29370800329325797,0.7096930855005213,0.37544033767833934
40,20,adam_005,sigmoid,0.49924805377497516,0.584559967037842,-0.02823384967061382,0.7065748748540208
40,20,adam_01,relu,0.485584594761281,0.5704088888945874,-9.306683683685257e-05,0.6968390020379751
40,20,adam_01,tanh,0.15626948224427106,0.3119204212306145,0.6781528338486341,0.39530935005925555
40,20,adam_01,sigmoid,0.49467636844315666,0.5808750087211215,-0.01881816627901234,0.7033323314359696
40,50,sgd_001,relu,0.07572859761424434,0.2160908549478566,0.8440320260313965,0.2751882948350899
40,50,sgd_001,tanh,0.09459408188744889,0.2423700642228722,0.8051773337126943,0.30756150911232194
40,50,sgd_001,sigmoid,0.08715669118108724,0.2303196655136972,0.8204951237765361,0.2952231210137296
40,50,sgd_0001,relu,0.09409217401018881,0.24356643316154672,0.8062110456418904,0.3067444767394986
40,50,sgd_0001,tanh,0.10215195843147203,0.251018176538972,0.7896113952269354,0.3196122000666934
40,50,sgd_0001,sigmoid,0.20416830257389373,0.3587099768833789,0.579502096905736,0.45184986729431903
40,50,adam_001,relu,0.07406792547904063,0.213434473678792,0.847452288343307,0.2721542310511461
40,50,adam_001,tanh,0.08122394709365074,0.220566301452935,0.8327139962308391,0.2849981527898922
40,50,adam_001,sigmoid,0.069889855214344,0.2080292312317402,0.8560572958941219,0.26436689508019723
40,50,adam_0001,relu,0.07269891615168693,0.21129840738959793,0.8502718521257916,0.26962736536132037
40,50,adam_0001,tanh,0.0737572287395064,0.21435371443356532,0.8480921884934544,0.2715828211421083
40,50,adam_0001,sigmoid,0.06813381909913023,0.20420370216972616,0.8596739665275956,0.2610245565059545
40,50,sgd_005,relu,0.0814959715425772,0.22151006569283177,0.8321537441793603,0.2854749928497717
